student_id,name,age,gender,attendance_rate,time_spent_hours,quiz_avg_score,assignments_completed,forum_posts,badges_earned,final_exam_score,final_grade,dropout_risk,feedback_text,sentiment
858,Suresh Kumar,28,Female,0.44,48.56,0.82,7,23,7,59.98,C,0,Okay course,Neutral
859,Arun Singh,21,Male,0.64,45.73,1,4,11,9,74.68,B,0,Helped me improve a lot,Positive
860,Divya Patel,29,Male,0.7,33.9,0.59,7,31,1,60.15,C,0,Average experience,Neutral
861,Priya Verma,24,Male,0.63,44.32,0.52,4,23,1,46.17,D,0,Waste of time,Negative
862,Sneha Das,30,Female,0.55,43.74,0.46,4,28,6,47.38,D,0,Very confusing content,Negative
863,Arun Singh,27,Female,0.8,56.58,0.26,4,13,3,47.68,D,0,Waste of time,Negative
864,Priya Kumar,26,Female,1,45.7,0.92,8,45,0,80.92,B,0,Great course and very helpful,Positive
865,Ravi Singh,19,Female,0.68,57.5,0.68,3,18,5,48.44,D,0,Not useful at all,Negative
866,Kavya Iyer,20,Female,0.74,61.82,0.55,4,23,4,58.12,C,0,Average experience,Neutral
867,Divya Iyer,26,Male,0.79,35.34,0.66,3,15,6,50.29,D,0,Too difficult to follow,Negative
868,Kavya Sharma,28,Male,0.85,10.76,0.29,3,20,1,47.05,D,0,Not useful at all,Negative
869,Sneha Verma,26,Female,0.51,26.06,0.7,5,19,8,43.53,D,0,Not useful at all,Negative
870,Sneha Singh,23,Female,0.88,26.05,0.69,8,38,0,66.23,C,0,Normal learning experience,Neutral
871,Ravi Singh,18,Female,0.77,40.87,0.73,7,25,8,69.12,C,0,Normal learning experience,Neutral
872,Vijay Patel,27,Male,0.81,36.28,0.96,5,30,9,66.98,C,0,Okay course,Neutral
873,Rahul Patel,19,Male,0.78,13.89,0.61,7,26,8,55.03,C,0,Okay course,Neutral
874,Divya Patel,19,Female,0.73,39.39,0.09,6,41,5,44.56,D,0,Too difficult to follow,Negative
875,Rahul Reddy,30,Female,0.87,49.3,0.32,6,14,4,54.82,D,0,Waste of time,Negative
876,Suresh Reddy,30,Female,0.81,36.64,0.58,6,14,3,52.89,D,0,Not useful at all,Negative
877,Anjali Verma,30,Male,0.89,37.88,0.93,5,27,7,75.23,B,0,Helped me improve a lot,Positive
878,Arun Verma,22,Male,0.81,32.82,0.8,5,38,7,62.58,C,0,Nothing special,Neutral
879,Divya Sharma,22,Male,0.92,54.23,0.73,6,43,1,74.24,B,0,Loved the teaching style,Positive
880,Rahul Verma,28,Female,0.86,44.87,0.68,3,34,4,61.46,C,0,Okay course,Neutral
881,Arun Gupta,20,Male,0.48,55.19,0.35,3,42,1,45.74,D,0,Very confusing content,Negative
882,Suresh Nair,22,Female,0.79,54.77,0.94,7,16,6,68.46,C,0,Average experience,Neutral
883,Sneha Singh,19,Male,0.7,26.77,0.56,5,17,7,50.33,D,0,Waste of time,Negative
884,Rahul Verma,29,Female,0.95,60.61,0.53,3,17,8,65.3,C,0,Nothing special,Neutral
885,Priya Verma,26,Female,0.77,47.45,0.36,6,28,9,55.77,C,0,Can be improved,Neutral
886,Vijay Singh,24,Female,0.59,21.71,0.59,4,44,4,51.92,D,0,Too difficult to follow,Negative
887,Ravi Das,22,Female,0.41,23.2,0.83,8,7,6,54.26,D,0,Very confusing content,Negative
888,Arun Sharma,19,Female,0.69,40.6,0.58,6,38,6,65.96,C,0,Nothing special,Neutral
889,Arun Verma,18,Male,0.8,27.65,0.6,9,37,4,70.56,B,0,Great course and very helpful,Positive
890,Rahul Gupta,23,Female,0.5,43.17,0.91,6,10,7,57.06,C,0,Nothing special,Neutral
891,Anjali Verma,28,Male,1,44.58,0.82,7,41,8,85.79,A,0,Excellent platform for learning,Positive
892,Karthik Sharma,22,Female,0.66,43.58,0.44,5,39,9,53.8,D,0,Very confusing content,Negative
893,Priya Reddy,26,Male,0.97,7.13,1,9,13,0,77.74,B,0,Excellent platform for learning,Positive
894,Arun Verma,22,Female,0.74,55.39,0.42,4,10,1,52.32,D,0,Not useful at all,Negative
895,Divya Reddy,26,Male,0.89,35.69,0.73,9,1,0,67.14,C,0,Average experience,Neutral
896,Anjali Reddy,24,Male,0.87,59.54,0.91,9,39,2,83.74,B,0,Helped me improve a lot,Positive
897,Karthik Gupta,30,Male,0.6,40.22,0.5,7,16,7,40.74,D,0,Too difficult to follow,Negative
898,Ravi Singh,22,Female,0.74,47.55,0.64,9,14,4,57.56,C,0,Nothing special,Neutral
899,Meena Verma,18,Female,0.95,21.84,0.52,8,10,7,65.71,C,0,Can be improved,Neutral
900,Priya Verma,30,Female,0.76,37.4,0.75,7,26,7,58.95,C,0,Normal learning experience,Neutral
901,Suresh Das,30,Female,1,14.94,1,7,8,0,70.96,B,0,Very engaging and informative,Positive
902,Kavya Nair,19,Male,0.78,44.21,1,4,5,7,72.1,B,0,Excellent platform for learning,Positive
903,Suresh Gupta,22,Female,0.56,60.68,0.67,4,8,0,50.8,D,0,Too difficult to follow,Negative
904,Suresh Kumar,28,Male,0.98,22.74,0.63,3,10,5,60.36,C,0,Okay course,Neutral
905,Vijay Verma,28,Male,0.64,16.03,0.99,7,29,7,62.52,C,0,Can be improved,Neutral
906,Priya Das,19,Female,0.81,29.37,0.93,6,15,6,69.64,C,0,Okay course,Neutral
907,Divya Nair,25,Female,1,51,0.7,5,38,9,72.61,B,0,Great course and very helpful,Positive
908,Rahul Reddy,18,Female,0.36,10.56,0.5,3,23,0,32.22,Fail,1,Not useful at all,Negative
909,Anjali Verma,22,Male,1,50.48,0.86,9,30,7,77.71,B,0,Great course and very helpful,Positive
910,Suresh Kumar,19,Male,1,40.22,0.45,8,26,8,71.02,B,0,Excellent platform for learning,Positive
911,Rahul Gupta,29,Female,0.8,53.52,0.61,5,46,6,67.35,C,0,Nothing special,Neutral
912,Vijay Sharma,27,Female,0.76,66.2,0.65,3,26,0,69.78,C,0,Normal learning experience,Neutral
913,Priya Das,28,Female,0.75,12.98,0.57,4,48,1,46.26,D,0,Too difficult to follow,Negative
914,Divya Reddy,30,Male,0.68,51.11,0.73,3,35,9,52.59,D,0,Very confusing content,Negative
915,Ravi Patel,27,Female,0.63,30.87,0.65,9,41,8,60.71,C,0,Average experience,Neutral
916,Ravi Reddy,27,Male,0.92,49.79,0.81,6,34,1,73.01,B,0,Very engaging and informative,Positive
917,Arun Patel,30,Male,0.66,15.61,0.55,4,21,9,52.07,D,0,Very confusing content,Negative
918,Sneha Singh,23,Female,0.76,55.56,0.77,7,22,8,75.8,B,0,Helped me improve a lot,Positive
919,Arun Patel,27,Male,0.96,55.05,0.86,8,38,4,75.04,B,0,Very engaging and informative,Positive
920,Arun Verma,22,Female,0.85,40.62,0.55,8,43,1,66.59,C,0,Average experience,Neutral
921,Sneha Iyer,20,Female,0.75,32.18,0.57,7,2,5,54.17,D,0,Poor explanations,Negative
922,Priya Sharma,22,Male,0.89,45.27,0.7,4,44,0,72.85,B,0,Excellent platform for learning,Positive
923,Priya Iyer,25,Female,0.89,57.86,0.8,5,40,1,80.58,B,0,Loved the teaching style,Positive
924,Meena Kumar,20,Male,0.88,60.49,1,5,2,1,75.21,B,0,Great course and very helpful,Positive
925,Arun Das,18,Female,0.52,14.06,0.69,5,38,0,42.94,D,0,Very confusing content,Negative
926,Vijay Verma,22,Female,0.69,37.88,0.5,3,35,4,57.22,C,0,Can be improved,Neutral
927,Suresh Nair,29,Female,0.68,25.94,0.57,3,6,9,49.94,D,0,Waste of time,Negative
928,Ravi Patel,21,Male,0.49,54.23,0.36,5,41,4,51.85,D,0,Too difficult to follow,Negative
929,Karthik Sharma,20,Female,0.83,46.8,0.38,7,30,1,58.91,C,0,Average experience,Neutral
930,Sneha Kumar,27,Female,0.79,18.24,0.85,7,1,6,66.98,C,0,Okay course,Neutral
931,Vijay Singh,21,Male,0.96,33.89,0.88,8,25,6,75.6,B,0,Great course and very helpful,Positive
932,Anjali Iyer,26,Male,0.61,39.99,0.87,8,48,8,77.27,B,0,Loved the teaching style,Positive
933,Divya Patel,19,Female,0.58,39.84,0.73,4,9,0,67.66,C,0,Nothing special,Neutral
934,Anjali Sharma,24,Male,0.71,10.08,0.49,3,13,0,39.24,Fail,0,Too difficult to follow,Negative
935,Meena Iyer,21,Male,0.55,31.69,0.47,6,5,3,45.22,D,0,Not useful at all,Negative
936,Karthik Verma,26,Female,0.82,27.92,0.95,9,19,0,67.55,C,0,Can be improved,Neutral
937,Ravi Kumar,28,Male,0.79,33.31,0.66,6,7,7,59.4,C,0,Normal learning experience,Neutral
938,Meena Verma,28,Female,1,40.6,0.12,3,26,0,50.34,D,0,Waste of time,Negative
939,Divya Gupta,25,Male,0.55,27.39,0.48,5,46,2,48.18,D,0,Very confusing content,Negative
940,Vijay Sharma,28,Male,0.84,49.3,0.58,6,43,0,65.32,C,0,Can be improved,Neutral
941,Sneha Verma,18,Male,1,9.84,0.18,4,42,5,60.08,C,0,Average experience,Neutral
942,Suresh Singh,20,Female,0.78,43.65,0.58,3,5,1,54.24,D,0,Not useful at all,Negative
943,Meena Patel,27,Female,0.58,49.64,0.71,5,23,5,46.58,D,0,Waste of time,Negative
944,Arun Verma,29,Female,0.67,1.8,0.96,6,11,5,58.31,C,0,Can be improved,Neutral
945,Priya Reddy,21,Female,0.86,67.52,0.55,6,30,0,76.14,B,0,Excellent platform for learning,Positive
946,Sneha Gupta,30,Male,0.73,28.67,0.41,4,1,5,47.37,D,0,Not useful at all,Negative
947,Divya Reddy,30,Female,0.85,19.37,0.59,5,14,3,56.21,C,0,Okay course,Neutral
948,Meena Patel,27,Male,0.58,49.07,0.67,9,17,1,64.41,C,0,Can be improved,Neutral
949,Anjali Patel,28,Male,0.56,31.92,0.61,4,6,5,39.27,Fail,0,Poor explanations,Negative
950,Sneha Verma,26,Female,0.77,36.48,0.3,5,1,4,48.84,D,0,Not useful at all,Negative
951,Anjali Gupta,20,Male,0.84,44.33,0.55,8,19,1,68.21,C,0,Normal learning experience,Neutral
952,Anjali Verma,27,Female,0.62,53.34,0.87,5,23,6,66.68,C,0,Okay course,Neutral
953,Suresh Sharma,28,Female,0.82,54.52,0.77,8,45,0,67.55,C,0,Can be improved,Neutral
954,Vijay Reddy,24,Female,0.85,34.35,0.92,4,38,9,66.1,C,0,Okay course,Neutral
955,Kavya Sharma,19,Female,0.87,8.81,0.84,8,31,9,61.86,C,0,Nothing special,Neutral
956,Suresh Das,25,Female,0.91,58.37,0.92,4,16,7,71.15,B,0,Excellent platform for learning,Positive
957,Karthik Nair,27,Male,0.61,60.89,0.62,3,0,8,42.74,D,0,Too difficult to follow,Negative
958,Priya Singh,25,Female,0.57,27.72,0.56,3,40,5,44.62,D,0,Not useful at all,Negative
959,Vijay Singh,21,Male,0.66,35.08,0.5,7,15,0,55.87,C,0,Nothing special,Neutral
960,Anjali Nair,29,Male,1,45.5,0.71,4,29,3,68.48,C,0,Normal learning experience,Neutral
961,Karthik Das,20,Male,0.52,35.87,0.95,7,17,7,66.59,C,0,Okay course,Neutral
962,Sneha Patel,24,Male,0.79,25.52,0.69,3,41,4,66.36,C,0,Can be improved,Neutral
963,Anjali Das,18,Female,1,33.67,0.71,9,6,7,63.16,C,0,Normal learning experience,Neutral
964,Rahul Nair,20,Male,0.8,57.9,0.55,8,36,1,64.79,C,0,Okay course,Neutral
965,Ravi Sharma,26,Female,0.68,51.56,0.49,5,39,5,60.35,C,0,Normal learning experience,Neutral
966,Divya Kumar,22,Male,0.68,65.12,0.65,3,14,3,47.72,D,0,Not useful at all,Negative
967,Vijay Verma,23,Male,0.61,16.95,0.74,9,9,5,60.15,C,0,Can be improved,Neutral
968,Arun Iyer,26,Female,0.53,53,0.63,4,12,9,50.16,D,0,Too difficult to follow,Negative
969,Meena Singh,22,Male,0.86,7.2,0.82,3,9,7,59.26,C,0,Normal learning experience,Neutral
970,Kavya Verma,29,Male,0.5,23.12,0.48,6,35,5,46.68,D,0,Poor explanations,Negative
971,Divya Singh,18,Female,0.78,49.84,0.81,4,42,9,72.83,B,0,Great course and very helpful,Positive
972,Ravi Das,25,Female,0.65,48.08,0.83,7,7,1,57.05,C,0,Can be improved,Neutral
973,Sneha Kumar,30,Male,0.75,26.74,0.62,5,10,4,48.3,D,0,Too difficult to follow,Negative
974,Anjali Sharma,19,Male,0.88,15.35,1,4,25,8,71.79,B,0,Excellent platform for learning,Positive
975,Ravi Singh,30,Male,0.94,32.87,0.72,8,13,3,57.15,C,0,Nothing special,Neutral
976,Anjali Kumar,30,Male,0.77,42.24,0.42,5,6,9,54.36,D,0,Poor explanations,Negative
977,Anjali Sharma,24,Male,0.84,35.05,0.59,6,22,8,63.67,C,0,Average experience,Neutral
978,Divya Iyer,25,Female,0.81,21.19,0.7,7,30,4,65.5,C,0,Can be improved,Neutral
979,Suresh Reddy,21,Male,0.5,22.1,0.66,8,31,5,44.31,D,0,Too difficult to follow,Negative
980,Arun Reddy,26,Female,0.6,53.14,0.56,9,3,2,58.25,C,0,Okay course,Neutral
981,Meena Reddy,19,Male,0.74,58.44,0.73,7,17,3,76.85,B,0,Great course and very helpful,Positive
982,Karthik Singh,27,Male,0.72,3.91,0.41,5,7,7,38.97,Fail,0,Very confusing content,Negative
983,Priya Iyer,28,Male,0.49,51.9,0.78,8,29,4,64.08,C,0,Normal learning experience,Neutral
984,Kavya Reddy,30,Male,0.79,48.99,0.97,6,26,7,70.57,B,0,Great course and very helpful,Positive
985,Rahul Gupta,26,Female,0.71,42.95,1,6,11,8,71.28,B,0,Loved the teaching style,Positive
986,Suresh Singh,27,Male,0.95,60.99,0.57,6,18,7,66.01,C,0,Average experience,Neutral
987,Anjali Verma,21,Female,0.74,49.89,0.92,4,21,9,64.24,C,0,Average experience,Neutral
988,Divya Singh,20,Male,0.94,75.24,0.83,8,12,1,76.77,B,0,Great course and very helpful,Positive
989,Anjali Das,28,Female,0.81,36.99,0.69,6,15,4,56.91,C,0,Can be improved,Neutral
990,Sneha Nair,20,Female,0.57,18.11,0.3,8,11,1,40.42,D,0,Very confusing content,Negative
991,Vijay Iyer,18,Female,0.61,34.23,0.62,8,14,6,59.65,C,0,Average experience,Neutral
992,Karthik Verma,19,Female,1,55.13,0.61,7,30,8,76.23,B,0,Great course and very helpful,Positive
993,Suresh Verma,21,Female,0.57,34.63,0.72,3,7,8,60.33,C,0,Okay course,Neutral
994,Karthik Sharma,29,Female,0.81,44.34,0.57,3,7,5,45.88,D,0,Waste of time,Negative
995,Sneha Nair,30,Male,0.59,28.23,1,5,9,0,64.44,C,0,Average experience,Neutral
996,Karthik Kumar,25,Male,0.64,49.99,0.48,7,6,2,59.88,C,0,Okay course,Neutral
997,Priya Singh,20,Female,0.5,17.46,0.55,5,8,9,38.28,Fail,0,Waste of time,Negative
998,Meena Das,26,Female,0.82,22.93,0.85,4,8,7,56.04,C,0,Average experience,Neutral
999,Vijay Sharma,22,Female,0.6,37.47,0.85,6,40,9,72.21,B,0,Great course and very helpful,Positive
1000,Priya Gupta,19,Female,0.9,19.9,0.92,8,17,4,69.28,C,0,Average experience,Neutral
1001,Sneha Nair,30,Male,0.67,49.65,0.73,3,49,8,77.76,B,0,Very engaging and informative,Positive
1002,Anjali Iyer,21,Female,0.96,50.21,0.62,5,7,4,65.43,C,0,Nothing special,Neutral
1003,Sneha Verma,25,Female,0.9,40.73,0.33,4,15,0,36.44,Fail,0,Very confusing content,Negative
1004,Vijay Iyer,22,Female,1,13.83,0.51,9,25,7,50.49,D,0,Not useful at all,Negative
1005,Kavya Singh,24,Male,0.35,30.82,0.42,4,34,6,37.04,Fail,0,Not useful at all,Negative
1006,Priya Singh,26,Male,0.55,10.64,0.57,4,28,0,46.29,D,0,Not useful at all,Negative
1007,Kavya Verma,25,Male,0.79,55.36,0.5,4,18,7,45.76,D,0,Too difficult to follow,Negative
1008,Divya Nair,29,Female,0.88,77.54,0.7,6,0,0,69.92,C,0,Can be improved,Neutral
1009,Priya Patel,30,Female,0.73,37.2,0.88,9,37,6,69.72,C,0,Average experience,Neutral
1010,Sneha Reddy,22,Male,0.46,50.3,0.8,9,27,4,60.63,C,0,Average experience,Neutral
1011,Meena Verma,19,Male,0.72,51.53,0.72,6,3,8,53.18,D,0,Poor explanations,Negative
1012,Anjali Das,29,Male,0.8,34.26,1,5,25,0,70.64,B,0,Great course and very helpful,Positive
1013,Priya Nair,19,Male,0.72,35.11,0.78,9,49,9,70.05,B,0,Loved the teaching style,Positive
1014,Arun Reddy,25,Female,1,78.96,0.83,7,30,3,89.59,A,0,Helped me improve a lot,Positive
1015,Ravi Reddy,24,Male,0.78,32.83,0.87,8,44,4,74.22,B,0,Great course and very helpful,Positive
1016,Meena Gupta,20,Male,1,48.73,0.64,8,18,5,73.26,B,0,Excellent platform for learning,Positive
1017,Rahul Iyer,22,Female,0.9,13.86,0.58,6,8,4,62.61,C,0,Can be improved,Neutral
1018,Kavya Das,19,Female,0.72,56.92,0.52,7,42,2,59.96,C,0,Normal learning experience,Neutral
1019,Meena Reddy,27,Female,1,29.93,0.69,6,45,7,67.07,C,0,Normal learning experience,Neutral
1020,Priya Das,18,Male,0.3,25.49,0.62,6,9,8,36.51,Fail,0,Too difficult to follow,Negative
1021,Rahul Sharma,19,Male,0.78,51.18,0.71,4,7,2,48.39,D,0,Too difficult to follow,Negative
1022,Rahul Patel,26,Female,0.81,33.25,0.84,5,3,8,64.72,C,0,Normal learning experience,Neutral
1023,Sneha Kumar,26,Male,0.71,17.17,0.88,9,25,6,60.6,C,0,Normal learning experience,Neutral
1024,Anjali Gupta,26,Male,0.55,40.72,0.59,9,38,7,51.47,D,0,Very confusing content,Negative
1025,Arun Reddy,24,Male,0.7,42.89,0.71,9,45,9,67.54,C,0,Okay course,Neutral
1026,Karthik Singh,30,Male,0.73,49.19,0.69,6,9,8,59.15,C,0,Average experience,Neutral
1027,Divya Singh,29,Female,0.69,52.69,0.79,8,24,1,63.77,C,0,Okay course,Neutral
1028,Meena Nair,21,Male,0.77,24.46,0.87,4,0,7,60.08,C,0,Okay course,Neutral
1029,Ravi Reddy,28,Female,0.62,11.83,0.43,3,35,7,52,D,0,Poor explanations,Negative
1030,Divya Nair,22,Male,0.43,34.45,0.81,7,21,7,50.12,D,0,Very confusing content,Negative
1031,Vijay Das,21,Male,0.69,42.5,0.69,9,4,9,56.63,C,0,Can be improved,Neutral
1032,Anjali Nair,18,Female,0.77,45,0.69,4,16,4,58.09,C,0,Can be improved,Neutral
1033,Suresh Nair,20,Male,0.79,34.99,0.96,4,12,0,75.65,B,0,Very engaging and informative,Positive
1034,Divya Verma,22,Female,1,41.65,0.72,6,4,7,69.84,C,0,Okay course,Neutral
1035,Divya Singh,26,Male,0.5,39.6,0.25,4,8,7,34.97,Fail,0,Poor explanations,Negative
1036,Meena Kumar,29,Female,0.46,53.51,1,6,19,1,58.77,C,0,Nothing special,Neutral
1037,Suresh Verma,27,Female,0.65,52.8,0.71,5,19,5,62.74,C,0,Okay course,Neutral
1038,Meena Nair,30,Male,0.56,43.95,0.86,6,16,8,58.63,C,0,Normal learning experience,Neutral
1039,Kavya Singh,27,Female,0.49,33.4,0.82,7,30,8,62.79,C,0,Can be improved,Neutral
1040,Karthik Das,26,Male,0.76,22.63,0.61,3,44,2,62.59,C,0,Okay course,Neutral
1041,Vijay Reddy,22,Male,0.42,2.4,0.76,7,45,0,52.58,D,1,Not useful at all,Negative
1042,Meena Kumar,27,Female,0.56,47.96,0.9,9,27,0,72.99,B,0,Excellent platform for learning,Positive
1043,Kavya Verma,23,Male,0.52,64.07,0.82,7,8,1,57.51,C,0,Can be improved,Neutral
1044,Suresh Singh,19,Male,0.37,42.69,0.36,3,38,7,37.75,Fail,0,Poor explanations,Negative
1045,Meena Reddy,29,Male,0.26,50.26,0.54,7,39,5,49.73,D,0,Very confusing content,Negative
1046,Priya Das,23,Female,0.76,44.03,0.48,3,13,0,57.59,C,0,Normal learning experience,Neutral
1047,Meena Das,24,Male,1,26.67,0.98,7,42,2,90.42,A,0,Very engaging and informative,Positive
1048,Arun Nair,19,Female,0.53,56.04,0.49,8,4,3,52.46,D,0,Very confusing content,Negative
1049,Priya Das,26,Female,0.51,93.99,0.59,9,25,3,64.75,C,0,Can be improved,Neutral
1050,Divya Patel,30,Male,0.43,34.73,0.69,4,42,3,59.49,C,0,Okay course,Neutral
1051,Karthik Patel,30,Male,0.56,30.86,0.75,9,4,3,50.78,D,0,Waste of time,Negative
1052,Sneha Gupta,29,Female,0.47,13.03,0.26,3,43,2,33.52,Fail,1,Poor explanations,Negative
1053,Priya Verma,22,Male,0.55,50.46,0.64,5,43,0,52.95,D,0,Not useful at all,Negative
1054,Karthik Gupta,19,Female,0.72,43.26,0.55,7,28,9,54.72,D,0,Poor explanations,Negative
1055,Priya Sharma,27,Female,0.7,62.51,0.81,3,22,3,67.48,C,0,Average experience,Neutral
1056,Meena Gupta,27,Female,0.59,44.82,0.22,5,37,7,52.63,D,0,Too difficult to follow,Negative
1057,Anjali Singh,28,Male,0.57,39.91,0.68,8,48,5,64.07,C,0,Can be improved,Neutral
1058,Meena Verma,20,Male,0.89,36.57,0.42,7,37,0,53.78,D,0,Poor explanations,Negative
1059,Sneha Reddy,26,Female,0.82,45.11,0.48,7,5,8,61.14,C,0,Okay course,Neutral
1060,Sneha Verma,25,Female,1,50.56,0.66,5,49,3,74.81,B,0,Very engaging and informative,Positive
1061,Vijay Patel,20,Female,0.71,23.53,0.19,3,33,0,40.82,D,0,Not useful at all,Negative
1062,Anjali Das,24,Female,0.84,51.94,0.59,7,6,0,57.63,C,0,Okay course,Neutral
1063,Sneha Kumar,24,Female,0.67,47.29,0.8,4,4,0,68.31,C,0,Average experience,Neutral
1064,Karthik Kumar,26,Female,0.93,29.91,0.84,9,25,0,67.69,C,0,Nothing special,Neutral
1065,Rahul Sharma,29,Female,0.8,26.54,0.59,6,0,9,57.24,C,0,Can be improved,Neutral
1066,Meena Gupta,29,Male,0.62,56.23,0.88,4,13,2,69.2,C,0,Okay course,Neutral
1067,Divya Iyer,18,Male,0.56,54.2,0.65,9,20,2,65.9,C,0,Normal learning experience,Neutral
1068,Suresh Kumar,21,Male,0.7,43.48,0.59,7,38,3,46.67,D,0,Very confusing content,Negative
1069,Karthik Nair,28,Female,0.83,45.68,0.84,5,45,3,71.33,B,0,Excellent platform for learning,Positive
1070,Sneha Singh,24,Male,0.89,32.08,0.75,4,35,7,67.2,C,0,Nothing special,Neutral
1071,Divya Das,30,Male,0.42,43.14,0.8,6,21,9,65.23,C,0,Can be improved,Neutral
1072,Ravi Patel,29,Female,0.46,58.88,0.54,5,23,7,43.63,D,0,Very confusing content,Negative
1073,Rahul Reddy,25,Female,0.73,34.33,0.47,4,15,3,50.57,D,0,Too difficult to follow,Negative
1074,Meena Kumar,28,Male,1,49.35,0.75,5,20,5,73.8,B,0,Great course and very helpful,Positive
1075,Meena Das,27,Female,1,45.89,1,5,32,0,77.73,B,0,Excellent platform for learning,Positive
1076,Divya Nair,22,Female,0.88,38.76,0.6,4,24,9,66.82,C,0,Average experience,Neutral
1077,Divya Reddy,23,Male,0.94,21.65,0.76,3,46,1,61.35,C,0,Nothing special,Neutral
1078,Vijay Nair,18,Male,0.8,43.45,0.78,3,6,4,61.79,C,0,Average experience,Neutral
1079,Kavya Das,21,Female,0.46,31.31,0.32,3,36,8,37.12,Fail,0,Too difficult to follow,Negative
1080,Arun Verma,26,Male,0.86,24.87,0.75,3,21,1,58.23,C,0,Normal learning experience,Neutral
1081,Rahul Patel,21,Female,0.55,34.61,0.51,5,35,0,49.6,D,0,Not useful at all,Negative
1082,Anjali Gupta,21,Female,0.95,41.07,0.73,4,24,8,62.13,C,0,Can be improved,Neutral
1083,Meena Verma,21,Female,0.42,33.63,0.8,9,35,0,54.87,D,0,Waste of time,Negative
1084,Ravi Sharma,29,Female,0.92,14.58,0.86,6,12,8,68.8,C,0,Okay course,Neutral
1085,Vijay Patel,24,Male,0.68,41.64,0.96,3,29,8,69.16,C,0,Average experience,Neutral
1086,Anjali Das,24,Male,0.73,40.49,0.85,7,14,7,67.86,C,0,Can be improved,Neutral
1087,Vijay Verma,20,Male,1,81.79,1,7,4,0,86.56,A,0,Excellent platform for learning,Positive
1088,Rahul Sharma,26,Male,1,49.05,0.52,9,17,0,67.61,C,0,Can be improved,Neutral
1089,Ravi Das,24,Female,1,52.06,1,9,18,2,85.35,A,0,Very engaging and informative,Positive
1090,Rahul Sharma,29,Female,0.88,42.12,0.53,4,15,3,66.41,C,0,Normal learning experience,Neutral
1091,Arun Das,29,Male,0.93,24.89,1,9,18,5,78.28,B,0,Great course and very helpful,Positive
1092,Rahul Verma,21,Male,0.8,63.69,0.44,8,9,4,56.45,C,0,Can be improved,Neutral
1093,Divya Iyer,20,Female,0.84,27.97,0.77,5,49,2,63.91,C,0,Okay course,Neutral
1094,Anjali Patel,27,Male,0.9,41.75,0.68,3,42,7,64.02,C,0,Can be improved,Neutral
1095,Arun Sharma,19,Male,0.44,22.95,0.74,4,18,7,52.75,D,0,Not useful at all,Negative
1096,Rahul Verma,18,Male,0.79,29.03,0.8,5,31,1,61.07,C,0,Normal learning experience,Neutral
1097,Sneha Singh,28,Female,0.52,45.32,0.53,3,35,8,55.88,C,0,Nothing special,Neutral
1098,Sneha Kumar,20,Male,1,36.6,0.71,4,45,5,76.6,B,0,Great course and very helpful,Positive
1099,Divya Reddy,30,Female,0.77,46.94,0.64,7,42,8,67.27,C,0,Can be improved,Neutral
1100,Vijay Patel,29,Male,0.75,45.51,0.8,7,46,6,73.99,B,0,Very engaging and informative,Positive
1101,Divya Singh,23,Female,1,40.52,0.54,4,34,6,59.37,C,0,Average experience,Neutral
1102,Divya Das,30,Male,0.89,60.14,0.62,4,1,5,69.43,C,0,Normal learning experience,Neutral
1103,Ravi Verma,29,Male,0.32,37.81,0.97,6,32,3,69.71,C,0,Can be improved,Neutral
1104,Karthik Das,22,Male,0.88,42.35,0.61,8,43,6,67.94,C,0,Nothing special,Neutral
1105,Suresh Verma,19,Female,0.61,34.83,0.76,8,17,2,56.64,C,0,Normal learning experience,Neutral
1106,Anjali Nair,22,Male,0.65,17.89,0.62,3,30,4,62.59,C,0,Average experience,Neutral
1107,Anjali Nair,23,Female,1,58.73,0.59,9,31,1,75.66,B,0,Very engaging and informative,Positive
1108,Divya Gupta,20,Female,0.49,13.41,0.63,8,11,2,55.04,C,1,Normal learning experience,Neutral
1109,Karthik Reddy,24,Female,0.7,20.49,0.4,6,49,3,44.51,D,0,Not useful at all,Negative
1110,Anjali Verma,28,Female,0.76,31.94,0.48,8,16,8,57.86,C,0,Average experience,Neutral
1111,Rahul Nair,25,Female,0.4,69.29,0.69,9,12,2,54.21,D,0,Not useful at all,Negative
1112,Priya Iyer,19,Female,0.49,51.18,0.71,7,1,9,59.72,C,0,Nothing special,Neutral
1113,Karthik Das,28,Female,0.46,32.85,0.64,4,30,9,47.78,D,0,Waste of time,Negative
1114,Divya Iyer,25,Male,0.64,23.54,1,4,47,3,76.65,B,0,Very engaging and informative,Positive
1115,Rahul Verma,28,Male,0.64,19.95,1,4,16,7,57.79,C,0,Can be improved,Neutral
1116,Arun Nair,26,Female,0.65,48.41,0.38,8,47,0,53.35,D,0,Too difficult to follow,Negative
1117,Karthik Sharma,23,Female,1,40.25,0.61,6,38,5,55.53,C,0,Nothing special,Neutral
1118,Kavya Verma,24,Male,0.41,39,0.74,5,18,6,55.72,C,0,Can be improved,Neutral
1119,Kavya Iyer,28,Male,0.72,64.19,0.68,3,22,7,61.19,C,0,Average experience,Neutral
1120,Vijay Kumar,30,Female,0.95,4.47,0.86,9,44,3,67.4,C,0,Okay course,Neutral
1121,Divya Kumar,20,Female,0.72,25.78,0.47,5,0,1,40.19,D,0,Poor explanations,Negative
